Board ugmt_b40
 Quad/Chan :    q00c0      q00c1      q00c2      q00c3      q01c0      q01c1      q01c2      q01c3      q02c0      q02c1      q02c2      q02c3      q03c0      q03c1      q03c2      q03c3      q04c0      q04c1      q04c2      q04c3      q05c0      q05c1      q05c2      q05c3      q06c0      q06c1      q06c2      q06c3      q07c0      q07c1      q07c2      q07c3      q08c0      q08c1      q08c2      q08c3      q09c0      q09c1      q09c2      q09c3      q10c0      q10c1      q10c2      q10c3      q11c0      q11c1      q11c2      q11c3      q12c0      q12c1      q12c2      q12c3      q13c0      q13c1      q13c2      q13c3      q14c0      q14c1      q14c2      q14c3      q15c0      q15c1      q15c2      q15c3      q16c0      q16c1      q16c2      q16c3      q17c0      q17c1      q17c2      q17c3  
      Link :     00         01         02         03         04         05         06         07         08         09         10         11         12         13         14         15         16         17         18         19         20         21         22         23         24         25         26         27         28         29         30         31         32         33         34         35         36         37         38         39         40         41         42         43         44         45         46         47         48         49         50         51         52         53         54         55         56         57         58         59         60         61         62         63         64         65         66         67         68         69         70         71    
Frame 0000 : 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000
Frame 0001 : 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000
Frame 0002 : 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000
Frame 0003 : 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000 0v00000000
Frame 0004 : 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000040 1v00000000 1v00010000 1v00000000 1v00000000 1v00000000 1v00000400 1v00000000 1v00000800 1v00000400 1v00000000 1v00000000 1v00000400 1v00018020 1v00000042 1v00100000 1v00100020 1v00008020 1v00000000 1v00100000 1v04200020 1v00100000 1v04100000 1v00100420 1v02000000 1v00000000 1v00000000 1v00010000 1v9b9a4206 1va1940204 1va39ae6f0 1v8199261c 1v9b9806f0 1v8799c6f0 1v098d4618 1va58c0618 1v998ca28c 1v258d4618 1v858c2228 1v158c0618 1v0c37c618 1v8dbbae18 1v17b76618 1v03876818 1v05bc8228 1v05832246 1v07810e10 1v83bc2828 1v89ba6e18 1v89bf8650 1v81b7ca10 1v05800620 1v99b4c424 1v8db70418 1v1db60c18 1v9db5461c 1v13b4061c 1v89b4860c 1va5a5c61c 1v87a5c618 1v99a76607 1vaba762f0 1v13ada420 1va9a5c6f0
Frame 0005 : 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v06000040 1v00200040 1v00000000 1v00000020 1v00000000 1v00000400 1v0e000400 1v00100400 1v00008402 1v00000000 1v00000000 1v00000000 1v00100000 1v00000020 1v00000000 1v00000400 1v00000001 1v00001000 1v00000000 1v00008000 1v00000000 1v00000000 1v02000000 1v00008000 1v00008000 1v00000041 1v04000000 1v04000000 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000002 1v00000001 1v00000001 1v00000002 1v00000001 1v00000002 1v00000002 1v00000001 1v00000002 1v00000002 1v00000002 1v00000002 1v00000002 1v00000001 1v00000001 1v00000001 1v00000001 1v00000002 1v00000001 1v00000001 1v00000002 1v00000001 1v00000002 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000002 1v00000001
Frame 0006 : 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000840 1v00000000 1v00000000 1v00000002 1v00000002 1v00000000 1v00000000 1v00000000 1v06008001 1v00000000 1v00000000 1v00010000 1v00000000 1v00000000 1v02000000 1v00008000 1v02000020 1v00000000 1v00000000 1v00000020 1v00000000 1v00000000 1v00000000 1v02008021 1v00100060 1v00110000 1v00000080 1v00000000 1v0795c608 1v1b99c6f0 1v1f992204 1v17978618 1v019142f0 1v00000000 1vad8a0646 1v8d8d4618 1v278ca628 1v9f8d4618 1va98a6606 1v838b4428 1v17b8a410 1v0db8ae20 1v1780061c 1v11b7ce18 1v01838318 1v00000000 1v87bce60a 1v8fbdc61c 1v0982aa18 1v13bb260a 1v8380081c 1v1385ae18 1v05b70a14 1v85b2c224 1v83b3e232 1v29b40618 1v00000000 1v17b5a61c 1v8fac0620 1v21a76618 1v0da6e204 1v8fb24218 1v91a646f0 1v27a88620
Frame 0007 : 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00200000 1v04000040 1v00210442 1v00000001 1v00100000 1v00000000 1v02000000 1v00008000 1v00000000 1v00000000 1v00000000 1v00000001 1v02100000 1v00000041 1v02000060 1v06100001 1v06000000 1v00008000 1v00000002 1v00000000 1v00100000 1v00000000 1v00000001 1v00000000 1v00000000 1v00000000 1v00010000 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000000 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000000 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000000 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001
Frame 0008 : 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000080 1v00200000 1v04000020 1v04000000 1v00000000 1v00000020 1v00200000 1v00000020 1v00028002 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00018403 1v00001000 1v00000000 1v00002000 1v00100000 1v02600400 1v02000000 1v00000000 1v00008000 1v00000400 1v00000000 1v00000000 1v938f0620 1v2396e60c 1v0790a618 1v00000000 1v1199c205 1v00000000 1v998ac60e 1v038d4624 1v958a461c 1v0189041c 1v218a4c24 1v278ac620 1v0d868609 1v1785a646 1v00000000 1v00000000 1v0bba6632 1v00000000 1v8384e828 1v00000000 1v8d85ac20 1v00000000 1v1387ca18 1v0fba6628 1va1b36618 1v9db5461c 1v1bb36220 1v05b70420 1v00000000 1v95b36618 1v00000000 1v00000000 1v95b08628 1v8daac618 1va3b10608 1v17ab6618
Frame 0009 : 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v00000000 1v04400000 1v00000000 1v00000800 1v00201000 1v00200000 1v00000000 1v00300020 1v00000000 1v00008000 1v00000000 1v00000c00 1v00000000 1v00000000 1v00000001 1v00000401 1v00001400 1v00000000 1v00200800 1v00000000 1v00000000 1v00008000 1v00000000 1v00000000 1v02000422 1v02000441 1v00100400 1v00000000 1v00020000 1v00000001 1v00000001 1v00000001 1v00000000 1v00000001 1v00000000 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000000 1v00000000 1v00000001 1v00000000 1v00000001 1v00000000 1v00000001 1v00000000 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000001 1v00000000 1v00000001 1v00000000 1v00000000 1v00000001 1v00000001 1v00000001 1v00000001
